date,new_deaths,previous_day_deaths,death_growth_percentage
2020-05-20,4885,324441.0,1.5056666697488912
2020-05-21,4786,329326.0,1.453271226687234
2020-05-22,5284,334112.0,1.5815056029115986
2020-05-23,3989,339396.0,1.175323221251871
2020-05-24,3140,343385.0,0.9144254990753818
2020-05-25,1178,346525.0,0.3399466127984994
2020-05-26,4203,347703.0,1.2087902606534888
2020-05-27,5213,351906.0,1.4813614999460083
2020-05-28,4701,357119.0,1.3163679333779497
2020-05-29,4742,361820.0,1.3105964291636725
2020-05-30,4156,366562.0,1.1337781875917308
2020-05-31,2888,370718.0,0.779028803564974
2020-06-01,3068,373606.0,0.8211859552576778
2020-06-02,4823,376674.0,1.2804175493928438
2020-06-03,5572,381497.0,1.4605619441306223
2020-06-04,5149,387069.0,1.3302537790419795
2020-06-05,4776,392218.0,1.2176901621037282
2020-06-06,3881,396994.0,0.9775966387401321
2020-06-07,2742,400875.0,0.6840037418147802
2020-06-08,3697,403617.0,0.9159673651010735
2020-06-09,4922,407314.0,1.2084043268829452
2020-06-10,5205,412236.0,1.2626262626262625
2020-06-11,4774,417441.0,1.1436346693305162
2020-06-12,4297,422215.0,1.0177279348199377
2020-06-13,4238,426512.0,0.993641445023821
2020-06-14,3374,430750.0,0.783284968078932
2020-06-15,3425,434124.0,0.7889450940284343
2020-06-16,6867,437549.0,1.5694242244868575
2020-06-17,5255,444416.0,1.182450676843318
2020-06-18,5029,449671.0,1.1183732106362207
2020-06-19,6273,454700.0,1.3795909390807124
2020-06-20,4249,460973.0,0.9217459590908795
2020-06-21,3963,465222.0,0.8518513741826482
2020-06-22,3571,469185.0,0.7611070260131931
2020-06-23,5311,472756.0,1.1234125003172886
2020-06-24,5261,478067.0,1.1004733646120732
2020-06-25,6627,483328.0,1.3711185778601693
2020-06-26,4827,489955.0,0.9851925176801951
2020-06-27,4486,494782.0,0.9066619238371647
2020-06-28,3089,499268.0,0.6187057852696348
2020-06-29,3721,502357.0,0.7407083010687618
2020-06-30,5132,506078.0,1.0140729294693702
2020-07-01,5011,511210.0,0.9802233915611979
2020-07-02,5120,516221.0,0.9918232694911676
2020-07-03,4995,521341.0,0.9581061148077746
2020-07-04,4369,526336.0,0.830078125
2020-07-05,3445,530705.0,0.6491365259419074
2020-07-06,3797,534150.0,0.7108490124496865
2020-07-07,6107,537947.0,1.135241947626811
2020-07-08,5319,544054.0,0.9776603057784706
2020-07-09,5458,549373.0,0.9934962220567811
2020-07-10,5311,554831.0,0.957228417301845
2020-07-11,4897,560142.0,0.8742426027685837
2020-07-12,3954,565039.0,0.6997747058167666
2020-07-13,3815,568993.0,0.670482765165828
2020-07-14,5660,572808.0,0.9881146911355986
2020-07-15,5493,578468.0,0.9495771589785434
2020-07-16,5799,583961.0,0.9930457684674148
2020-07-17,6743,589760.0,1.1433464460119371
2020-07-18,5627,596503.0,0.9433313830777045
2020-07-19,4029,602130.0,0.6691246076428679
2020-07-20,4160,606159.0,0.6862885810488667
2020-07-21,6238,610319.0,1.0220884488275803
2020-07-22,6983,616557.0,1.132579793920108
2020-07-23,9966,623540.0,1.5982936138820285
2020-07-24,6144,633506.0,0.9698408539145643
2020-07-25,4867,639650.0,0.7608848589072149
2020-07-26,4104,644517.0,0.6367558962758159
2020-07-27,5415,648621.0,0.8348480853996402
